Value Index,EBIN,UBINS,CBINS,MBINS,LBINS,RBINS,ZBINS,YBINS,XBINS,Mean Value,Stat. Error,Mean_E_Norm,Energy (eV),Energy (MeV)
153.0,153.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.6852,0.00234,0.11257053549395411,80.0,7.999999999999999e-05
154.0,154.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.663,0.0041,0.11238792465246361,81.7,8.17e-05
155.0,155.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.6698,0.00183,0.11244385950481205,90.0,8.999999999999999e-05
156.0,156.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.7001,0.00234,0.11269309862630585,97.0,9.7e-05
157.0,157.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.65,0.00277,0.11228099037591512,101.2,0.0001012
158.0,158.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.7209,0.00364,0.11286419346878343,105.0,0.00010499999999999999
159.0,159.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.5926,0.0041,0.11180883441638562,108.0,0.000108
160.0,160.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.6472,0.00263,0.11225795837788928,113.0,0.000113
161.0,161.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.4505,0.00325,0.11063996051657482,116.0,0.000116
162.0,162.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.7501,0.00529,0.11310438430533849,117.5,0.0001175
163.0,163.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.079,0.00472,0.11580982150201531,119.0,0.00011899999999999999
164.0,164.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.3269,0.00424,0.10962326231800609,122.0,0.000122
165.0,165.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.8283,0.00162,0.11374763510734558,143.0,0.000143
166.0,166.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.9579,0.00177,0.11481368758739821,170.0,0.00016999999999999999
167.0,167.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.6722,0.00237,0.11246360121740562,180.0,0.00017999999999999998
168.0,168.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.9497,0.00259,0.11474623673603686,187.7,0.00018769999999999998
169.0,169.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.9768,0.00966,0.11496915357407256,188.5,0.0001885
170.0,170.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.0586,0.00468,0.11564201694496998,191.5,0.0001915
171.0,171.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.2855,0.00697,0.10928271777576706,193.0,0.000193
172.0,172.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.8006,0.00302,0.11351978284116147,202.0,0.000202
173.0,173.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.9962,0.00333,0.11512873241753722,207.4,0.0002074
174.0,174.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.8572,0.00557,0.11398535822982644,209.5,0.0002095
175.0,175.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.0863,0.00265,0.11586986921115407,220.0,0.00021999999999999998
176.0,176.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.9725,0.00182,0.11493378300567575,240.0,0.00023999999999999998
177.0,177.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.0836,0.00189,0.11584765978448631,285.0,0.000285
178.0,178.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.0749,0.00237,0.11577609607633463,305.0,0.000305
179.0,179.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.2047,0.00144,0.11684379369910342,550.0,0.0005499999999999999
180.0,180.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.3771,0.00164,0.11826190672040801,670.0,0.00067
181.0,181.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.3069,0.00446,0.11768446162704616,683.0,0.000683
182.0,182.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.3745,0.00146,0.1182405198650983,950.0,0.00095
183.0,183.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.4468,0.00164,0.11883523895697952,1150.0,0.00115
184.0,184.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.4769,0.0016,0.1190828329357572,1500.0,0.0015
185.0,185.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.4287,0.00357,0.1186863535411697,1550.0,0.00155
186.0,186.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.5161,0.00167,0.11940528090811879,1800.0,0.0018
187.0,187.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.5493,0.00163,0.11967837459899647,2200.0,0.0021999999999999997
188.0,188.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.6452,0.00372,0.1204672205313811,2250.0,0.00225
189.0,189.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.5916,0.00201,0.1200263222834581,2500.0,0.0025
190.0,190.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.5996,0.00179,0.12009212799210332,3000.0,0.003
191.0,191.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.6573,0.00153,0.120566751665707,3740.0,0.00374
192.0,192.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.6887,0.00313,0.12082503907213953,3900.0,0.0039
